count,month
3,2005-04
3,2005-05
4,2005-06
10,2005-07
11,2005-08
5,2005-09
8,2005-10
19,2005-11
20,2005-12
19,2006-01
14,2006-02
15,2006-03
29,2006-04
36,2006-05
25,2006-06
30,2006-07
37,2006-08
40,2006-09
34,2006-10
76,2006-11
79,2006-12
67,2007-01
103,2007-02
136,2007-03
149,2007-04
122,2007-05
246,2007-06
345,2007-07
400,2007-08
519,2007-09
899,2007-10
938,2007-11
902,2007-12
1124,2008-01
1238,2008-02
1360,2008-03
1500,2008-04
2387,2008-05
2931,2008-06
2929,2008-07
3593,2008-08
2666,2008-09
2358,2008-10
2409,2008-11
2050,2008-12
2783,2009-01
2534,2009-02
3453,2009-03
4468,2009-04
6258,2009-05
4888,2009-06
5731,2009-07
7570,2009-08
7890,2009-09
6214,2009-10
5774,2009-11
4002,2009-12
5303,2010-01
4722,2010-02
5185,2010-03
5083,2010-04
4825,2010-05
4781,2010-06
4387,2010-07
5344,2010-08
4662,2010-09
4532,2010-10
4853,2010-11
4870,2010-12
4937,2011-01
5207,2011-02
5517,2011-03
6127,2011-04
5640,2011-05
5497,2011-06
6657,2011-07
5439,2011-08
4755,2011-09
5487,2011-10
5055,2011-11
5200,2011-12
7154,2012-01
5335,2012-02
11269,2012-03
8747,2012-04
7095,2012-05
7544,2012-06
6349,2012-07
7042,2012-08
8161,2012-09
7020,2012-10
6581,2012-11
5279,2012-12
7419,2013-01
5956,2013-02
6123,2013-03
6408,2013-04
9359,2013-05
7360,2013-06
6920,2013-07
7366,2013-08
7199,2013-09
7043,2013-10
8067,2013-11
7102,2013-12
10605,2014-01
8643,2014-02
9921,2014-03
9083,2014-04
8463,2014-05
8168,2014-06
7709,2014-07
10849,2014-08
7798,2014-09
8760,2014-10
8674,2014-11
7672,2014-12
