value,date
143,2005-04
229,2005-05
279,2005-06
550,2005-07
610,2005-08
735,2005-09
913,2005-10
1179,2005-11
1321,2005-12
1506,2006-01
1623,2006-02
1818,2006-03
2160,2006-04
2581,2006-05
2898,2006-06
3231,2006-07
3585,2006-08
4013,2006-09
4522,2006-10
4985,2006-11
5346,2006-12
5776,2007-01
6373,2007-02
7021,2007-03
7654,2007-04
8487,2007-05
9607,2007-06
11294,2007-07
12772,2007-08
15071,2007-09
17893,2007-10
20648,2007-11
22934,2007-12
25971,2008-01
29268,2008-02
32802,2008-03
36593,2008-04
42274,2008-05
48923,2008-06
55726,2008-07
64612,2008-08
70637,2008-09
76554,2008-10
82948,2008-11
88383,2008-12
95923,2009-01
103065,2009-02
112590,2009-03
121059,2009-04
130371,2009-05
140766,2009-06
151993,2009-07
165916,2009-08
179973,2009-09
192224,2009-10
203640,2009-11
213973,2009-12
227386,2010-01
239164,2010-02
255314,2010-03
279258,2010-04
295719,2010-05
312426,2010-06
326762,2010-07
341058,2010-08
371756,2010-09
365414,2010-10
377860,2010-11
390046,2010-12
402695,2011-01
415811,2011-02
430336,2011-03
447360,2011-04
463636,2011-05
479797,2011-06
498785,2011-07
515240,2011-08
530194,2011-09
547115,2011-10
562646,2011-11
577829,2011-12
597482,2012-01
612939,2012-02
644751,2012-03
671428,2012-04
693442,2012-05
715681,2012-06
773036,2012-07
849178,2012-08
935766,2012-09
1018319,2012-10
1100126,2012-11
1177555,2012-12
1217515,2013-01
1243939,2013-02
1317810,2013-03
1405678,2013-04
1505300,2013-05
1598905,2013-06
1699493,2013-07
1730834,2013-08
1761534,2013-09
1792136,2013-10
1824599,2013-11
1862875,2013-12
1912472,2014-01
1959825,2014-02
2011263,2014-03
2055455,2014-04
2101357,2014-05
2158049,2014-06
2227440,2014-07
2302850,2014-08
2370298,2014-09
2437382,2014-10
2494505,2014-11
2547742,2014-12
2586413,2015-01
